"Exhibit 5. Global atmospheric concentrations of ozone, 1979-2020"
"Data source: NASA, 2013, 2021, 2022"
"For a description of this indicator and for technical documentation, visit EPA's Report on the Environment at www.epa.gov/roe."
"Units: Dobson units"

"Year","Total column","Stratosphere","Troposphere"
"1979","288.5425341","258.2995301","30.24300399"
"1980","285.4857538","255.8441954","29.64155844"
"1981","286.8615908","257.0358385","29.82575237"
"1982","284.6232209","254.8095565","29.81366448"
"1983","281.4472355","251.7168593","29.7303762"
"1984","282.6520321","252.9466823","29.70534982"
"1985","278.7760214","248.8960536","29.87996771"
"1986","280.4833358","250.7757174","29.70761845"
"1987","280.4320295","250.040274","30.3917555"
"1988","279.824351","249.2795321","30.54481897"
"1989","284.2744245","254.1555761","30.1188484"
"1990","280.3666471","250.3081316","30.05851543"
"1991","282.2635986","252.321076","29.94252255"
"1992","275.5363445","246.0045935","29.53175101"
"1993","271.5864837","243.69448","27.89200375"
"1993.001","null","0","0"
"1994","276.6751021","null","null"
"1995","276.1967865","null","null"
"1996","278.3669026","null","null"
"1996.999","null","0","0"
"1997","275.0610352","244.1778176","30.88321755"
"1998","279.0761106","248.6665197","30.40959091"
"1999","279.6856512","249.3924969","30.29315427"
"2000","280.5171256","250.2055054","30.31162023"
"2001","279.8883338","249.8042024","30.08413138"
"2002","278.2098547","248.2219774","29.98787733"
"2003","279.7477386","249.6117919","30.13594675"
"2004","276.6686602","246.4444667","30.22419357"
"2005","277.689378","246.344976","31.34440194"
"2006","275.5851902","243.827938","31.75725212"
"2007","277.9547966","246.2105002","31.74429641"
"2008","276.8623944","245.3359602","31.52643423"
"2009","277.2883898","245.2174626","32.07092713"
"2010","279.9723456","247.5224939","32.44985166"
"2011","279.7765871","247.008363","32.76822418"
"2012","277.9641987","245.2039445","32.7602542"
"2013","277.5365288","244.8136174","32.72291133"
"2014","279.8094604","246.8756907","32.93376974"
"2015","278.8672805","245.5752177","33.29206285"
"2016","274.4976433","241.2329129","33.26473034"
"2017","277.4280135","244.0139272","33.41408626"
"2018","278.3970894","244.7762899","33.62079956"
"2019","275.6600871","242.1724971","33.48758996"
"2020","276.0855724","242.1775044","33.90806791"
